"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price CAD"
"1","1","399-C0402C152F5GECAUTOCT-ND","C0402C152F5GECAUTO","CAP CER 0402 1.5NF 50V C0G 1%","C1","1","0","0.88000","0.88"
"2","1","399-C0603C512F5GACTUCT-ND","C0603C512F5GACTU","CAP CER 5100PF 50V C0G/NP0 0603","C1","1","0","2.58000","2.58"
"3","1","490-GCM1555C1H621FA16DCT-ND","GCM1555C1H621FA16D","CAP CER 620PF 50V C0G/NP0 0402","C2","1","0","0.15000","0.15"
"4","1","490-GCM21B5C2E822FX0ALCT-ND","GCM21B5C2E822FX0AL","CAP CER 8200PF 250V C0G/NP0 0805","C2","1","0","0.87000","0.87"
"5","4","718-2505-1-ND","TMCP1E104MTRF","CAP TANT 100NF 20% 25V 0805","Decouple","4","0","0.46000","1.84"
"6","1","296-46713-ND","LAUNCHXL-F28379D","LAUNCHPAD TMS320F2837XD/2837XS","","1","0","71.12000","71.12"
"7","1","2019-RN73H1JTTD2942F50CT-ND","RN73H1JTTD2942F50","RES 29.4K OHM 1% 1/10W 0603","R4","1","0","0.21000","0.21"
"8","1","2019-RN73H1JTTD1001F100CT-ND","RN73H1JTTD1001F100","RES 1K OHM 1% 1/10W 0603","R3","1","0","0.21000","0.21"
"9","2","2019-RN73H1JTTD1002F50CT-ND","RN73H1JTTD1002F50","RES 10K OHM 1% 1/10W 0603","R1 and R2","2","0","0.21000","0.42"
"10","1","SK510A-LTPMSCT-ND","SK510A-LTP","DIODE SCHOTTKY 100V 5A DO214AC","D","1","0","0.68000","0.68"
"11","2","M8386-ND","1140-103K-RC","FIXED IND 10MH 1A 2.76 OHM TH","L","2","0","18.12000","36.24"
"12","1","1189-1712-ND","100ZLH470MEFC16X31.5","CAP ALUM 470UF 20% 100V RADIAL","Electrolytic","1","0","2.67000","2.67"
"13","1","490-14464-1-ND","GRM21BC72A105KE01L","CAP CER 1UF 100V X7S 0805","Decouple Power","1","0","0.52000","0.52"
"14","1","490-GRM21BD72A225ME01KCT-ND","GRM21BD72A225ME01K","CAP CER 2.2UF 100V X7T 0805","C","1","0","0.59000","0.59"
"15","5","314-1554-ND","BU-P72930-2","CONN BANANA JACK THRD RED","Banana","5","0","4.82000","24.10"
"16","1","IRF540NPBF-ND","IRF540NPBF","MOSFET N-CH 100V 33A TO220AB","Q","1","0","1.91000","1.91"
"17","1","296-UCC5304DWVRCT-ND","UCC5304DWVR","DGTL ISO 5KV 1CH GATE DVR 8SOIC","Gate Driver","1","0","3.45000","3.45"
"18","1","TMV0512SHI-ND","TMV 0512SHI","DC DC CONVERTER 12V 1W","Power","1","0","14.29000","14.29"
"19","5","1080-1357-1-ND","IR26-21C/L110/TR8","EMITTER IR 940NM 65MA 1206","LED","5","0","0.53000","2.65"
"20","1","541-RCP1206W50R0JTPCT-ND","RCP1206W50R0JTP","RES SMD 50 OHM 5% 2.4W 1206","50 Ohm","1","0","2.32000","2.32"
"21","1","738-RMCF0805FT7R50CT-ND","RMCF0805FT7R50","RES 7.5 OHM 1% 1/8W 0805","7.5 Ohm","1","0","0.16000","0.16"
"22","1","311-12.0CRCT-ND","RC0805FR-0712RL","RES 12 OHM 1% 1/8W 0805","12 Ohm","1","0","0.16000","0.16"
"23","1","488-US2AACT-ND","US2AA","DIODE GEN PURP 50V 1.5A DO214AC","D5","1","0","0.61000","0.61"
"24","2","478-8456-1-ND","F951C106MPAAQ2","CAP TANT 10UF 20% 16V 0805","10 uF","2","0","1.20000","2.40"
"25","1","399-C0805C224K5RACTUCT-ND","C0805C224K5RACTU","CAP CER 0.22UF 50V X7R 0805","0.22 uF","1","0","0.15000","0.15"
"26","1","4713-CHV0805N250470FCT-ND","CHV0805N250470FCT","HVCAP0805 COG 47PF 1% 250V","47 pF","1","0","0.70000","0.70"
"27","1","HS107-ND","577202B00000G","HEAT SINK TO-220 .500"" COMPACT","Heatsink","1","0","1.36000","1.36"
"28","7","732-5318-ND","61300511121","CONN HEADER VERT 5POS 2.54MM","MCU Header","7","0","0.36000","2.52"
"29","4","952-1386-ND","M50-3501042","CONN HEADER VERT 20POS 1.27MM","MCU Header","4","0","3.51000","14.04"
"30","1","296-9554-5-ND","LM358AP","IC OPAMP GP 2 CIRCUIT 8DIP","Op Amp","1","0","0.44000","0.44"
"31","4","732-12918-ND","971100244","BRASS SPACER STUD METRIC THREAD","Mount","4","0","0.94000","3.76"
